company_name,company_number,company_status,company_type,date_of_cessation,date_of_creation,sic_codes,company_subtype,address_line_1,locality,postal_code,address_line_2,region,country,SICCODE_0,SICCODE_1,SICCODE_2,SICCODE_3,Value
STANDARD ISSUE LIMITED,7818395,dissolved,ltd,17-02-2015,20-10-2011,['46420'],,1st Floor Northern Assurance Buildings,Manchester,M2 4DN,9 - 21 Princess Street Albert Square,Lancs,,46420,,,,TRUE
MAS BODY DEVELOPMENT LIMITED,7819505,active,ltd,,21-10-2011,['46420'],,"Beaumont Accountancy First Floor, Enterprise House",Middlesbrough,TS1 3QW,202-206 Linthorpe Road,Cleveland,England,46420,,,,TRUE
E-WEAR LTD,7825781,dissolved,ltd,15-03-2022,27-10-2011,"['46420', ' 70229']",,Acre House,London,NW1 3ER,11/15 William Road,,United Kingdom,46420,70229,,,TRUE
FOAY INVESTMENT LTD,7829270,dissolved,ltd,07-03-2017,31-10-2011,['46420'],,54 Melbourne Court,London,SE20 8AS,Anerley Road,,,46420,,,,TRUE
KIDSORCHID LIMITED,7829579,dissolved,ltd,25-04-2017,31-10-2011,['46420'],,355a Barking Road,London,E6 1LA,East Ham,,,46420,,,,TRUE
TRI T SCRUB LIMITED,7854506,dissolved,ltd,04-12-2018,21-11-2011,['46420'],,Ground Floor 2 Woodberry Grove,London,N12 0DR,North Finchley,,,46420,,,,TRUE
CHEETHAM FOODSTORES LIMITED,7810224,dissolved,ltd,30-09-2014,14-10-2011,['47210'],,378 Cheetham Hill Road,Manchester,M8 9LS,,,England,47210,,,,TRUE
GERRARDS GREENGROCERS LIMITED,7825373,dissolved,ltd,20-01-2015,27-10-2011,['47210'],,75-77 Church Street,Wolverhampton,WV14 0BJ,Bilston,West Midlands,England,47210,,,,TRUE
SOUTHEND BANGLA BAZAAR LIMITED,7829430,dissolved,ltd,05-01-2016,31-10-2011,['47210'],,519 London Road,Westcliff-On-Sea,SS0 9LJ,,Essex,,47210,,,,TRUE
COUNTRY FAYRE (YORK) LIMITED,7853014,dissolved,ltd,15-03-2016,18-11-2011,"['47210', ' 47760', ' 62020']",,35 Green Lane,York,YO24 3DA,Acomb,North Yorkshire,,47210,47760,62020,,TRUE
SELIN FOOD CENTRE LIMITED,7855507,dissolved,ltd,08-01-2019,21-11-2011,['47210'],,Pixel Building,Waltham Abbey,EN9 1JH,110 Brooker Road,Essex,England,47210,,,,TRUE
IATROTEC PROFESSIONAL LEARNING LTD,7830596,dissolved,ltd,05-07-2022,01-11-2011,"['85421', ' 85422', ' 85590', ' 86900']",,104 Harewood Avenue,Bournemouth,BH7 6NS,,,,85421,85422,85590,86900,TRUE
UWTSD LEARNING CENTRES LTD,7853426,dissolved,ltd,12-10-2021,18-11-2011,"['85421', ' 85422', ' 85590']",,Carmarthen Campus,Carmarthen,SA31 3EP,College Road,Carmarthenshire,,85421,85422,85590,,TRUE
